[Wed Feb 03 00:10:00 2016]	[client: 121.54.54.148] [file: core.class.php] - [Device ID: 48ec5fca839e8c59, Platform: android, PUSH ID: APA91bEV6AlwbFZaA-15WiJFZrCSVv1HCdi9ocNIkYFAFDoL7qo3KMruhzYQ0GZK2dR1-QxFFFlx4axj_ANsURabmGKSh4WNSLossAuoM0GYpGD6_k6aiH9sIhTaXErfYpkXdU6vg1xO]	 Status: [Existing]
[Wed Feb 03 14:07:16 2016]	[client: 49.144.171.73] [file: core.class.php] - [Device ID: 821ab0cc153ae015, Platform: android, PUSH ID: APA91bHBwoKNop85pPAcUN4u91ZOIWUDeNKpUM2rfb_Z9ZRa55qWez-AL9M3y3yUtYuwVVRVK-K7O6s4kDKLoIuAq8NP6WZVesSZR4LBrMYXVGl2knDq6jcPtMRq8FDnLzISvzQtP58K]	 Status: [Success]
[Wed Feb 03 14:07:16 2016]	[client: 49.144.171.73] [file: core.class.php] - [Device ID: 821ab0cc153ae015, Platform: android, PUSH ID: APA91bHBwoKNop85pPAcUN4u91ZOIWUDeNKpUM2rfb_Z9ZRa55qWez-AL9M3y3yUtYuwVVRVK-K7O6s4kDKLoIuAq8NP6WZVesSZR4LBrMYXVGl2knDq6jcPtMRq8FDnLzISvzQtP58K]	 Status: [Existing]
[Wed Feb 03 14:09:51 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 33b384106cd26ab7, Platform: android, PUSH ID: APA91bGHLX5O5k25oQuLuMM0fIeeequPExFn2U-l_aom8fiQ1KrF2vNzOigOkemmGFTdUQoBqrzTXCS5mwldW_pMFS3xj_F0to90cb7oqYuzO4NNWsLtV_PwpuLkbyqXm5ZsToOlxEzM]	 Status: [Success]
[Wed Feb 03 14:09:54 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 33b384106cd26ab7, Platform: android, PUSH ID: APA91bGHLX5O5k25oQuLuMM0fIeeequPExFn2U-l_aom8fiQ1KrF2vNzOigOkemmGFTdUQoBqrzTXCS5mwldW_pMFS3xj_F0to90cb7oqYuzO4NNWsLtV_PwpuLkbyqXm5ZsToOlxEzM]	 Status: [Existing]
[Wed Feb 03 14:18:55 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: fc576d6f930f675a, Platform: android, PUSH ID: APA91bG6fOOgF5lCVdfyPUFbOzoDvSLhHKCM1rcruYt4Mot_1gJ7Z68HN4KXiNROvHhxcbvQK_rf8dSnbMh4PnURDzl0fFJlN1pBgyu8vVo45nQo7NmTSqng5_l5poe-BSu8Kf4rtP8B]	 Status: [Success]
[Wed Feb 03 14:18:56 2016]	[client: 112.208.59.251] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: fc576d6f930f675a, Platform: android, PUSH ID: APA91bG6fOOgF5lCVdfyPUFbOzoDvSLhHKCM1rcruYt4Mot_1gJ7Z68HN4KXiNROvHhxcbvQK_rf8dSnbMh4PnURDzl0fFJlN1pBgyu8vVo45nQo7NmTSqng5_l5poe-BSu8Kf4rtP8B]
[Wed Feb 03 14:19:40 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: C2A9E346-6747-4DB9-ADEC-F2AA3FA00709, Platform: ios, PUSH ID: 4d416885c239d6c4aaa525cc5d3ed25f4ad42593d0f140491889465c5c1a80c0]	 Status: [Success]
[Wed Feb 03 14:21:17 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: 24faa7fbac8c754d, Platform: android, PUSH ID: APA91bHbuVBev09wP1sUF4APsoOzMg4jk3Cub1AJoH5wtgJz8W_2T5RqrFCOOS6iTzia27XawgI7h1muxuyMCksmzTiNkMAxQIZeDIQG_-E98U_iD1sKWoLD024AlcSoDPvimsYkSAnz]	 Status: [Success]
[Wed Feb 03 14:21:18 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: 24faa7fbac8c754d, Platform: android, PUSH ID: APA91bHbuVBev09wP1sUF4APsoOzMg4jk3Cub1AJoH5wtgJz8W_2T5RqrFCOOS6iTzia27XawgI7h1muxuyMCksmzTiNkMAxQIZeDIQG_-E98U_iD1sKWoLD024AlcSoDPvimsYkSAnz]	 Status: [Existing]
[Wed Feb 03 14:43:15 2016]	[client: 121.54.44.93] [file: core.class.php] - [Device ID: 5c16e106ce7c8dfc, Platform: android, PUSH ID: APA91bHtX4iewg6yOLuB4JItObTeigmRo8iHy7bVuowPaZw69Qmi5_2UrRhNarqlijHVX8dEktpEepnKUYsHcFCIpTFyE9XHbTGlu4Exn3VRFa2vnwlPfhSpN4I2QuSW1W9jwTYVtRd7]	 Status: [Existing]
[Wed Feb 03 14:43:16 2016]	[client: 121.54.44.93] [file: core.class.php] - [Device ID: 5c16e106ce7c8dfc, Platform: android, PUSH ID: APA91bHtX4iewg6yOLuB4JItObTeigmRo8iHy7bVuowPaZw69Qmi5_2UrRhNarqlijHVX8dEktpEepnKUYsHcFCIpTFyE9XHbTGlu4Exn3VRFa2vnwlPfhSpN4I2QuSW1W9jwTYVtRd7]	 Status: [Existing]
[Wed Feb 03 15:10:32 2016]	[client: 49.144.20.190] [file: core.class.php] - [Device ID: eda5d254c9da95e4, Platform: android, PUSH ID: APA91bF6shbkBk5r8nnuXcAl4l36WlNaYug4EgGouv9yM4bkBToecj0L2YxEDn_5xzvzt9N_HcztLCzpyuxf8qrba5OwRK4QL83ZY1RlYmPeea-nvRofvBW0_GhICX9-RVcVIuUF2C3N]	 Status: [Existing]
[Wed Feb 03 15:10:32 2016]	[client: 49.144.20.190] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: eda5d254c9da95e4, Platform: android, PUSH ID: APA91bF6shbkBk5r8nnuXcAl4l36WlNaYug4EgGouv9yM4bkBToecj0L2YxEDn_5xzvzt9N_HcztLCzpyuxf8qrba5OwRK4QL83ZY1RlYmPeea-nvRofvBW0_GhICX9-RVcVIuUF2C3N]
[Wed Feb 03 15:54:22 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Wed Feb 03 15:54:22 2016]	[client: 112.208.59.251] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Wed Feb 03 16:15:06 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 1aa85b154318d519, Platform: android, PUSH ID: APA91bFM1AD8aQwlTHIvZDWzAR91yKwI2nLY2usXU4O_ZhmLhWGvSC9fkH_RuLIMRTNKhv4JPRgkr_7SBnxSM5UDQHEl8hmdKjeKrZ_ZdxmrrE2rq3wWL3D89NPoNt5zl_OhTMqpU4pN]	 Status: [Success]
[Wed Feb 03 16:15:06 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 1aa85b154318d519, Platform: android, PUSH ID: APA91bFM1AD8aQwlTHIvZDWzAR91yKwI2nLY2usXU4O_ZhmLhWGvSC9fkH_RuLIMRTNKhv4JPRgkr_7SBnxSM5UDQHEl8hmdKjeKrZ_ZdxmrrE2rq3wWL3D89NPoNt5zl_OhTMqpU4pN]	 Status: [Existing]
[Wed Feb 03 16:18:54 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 648d902b47780060, Platform: android, PUSH ID: APA91bGmezMNKDmcwg_rdWOgcgfvX1Xnm39WrxVNHH6EscZfINwbQz94Itx5guML2-LylkCdkrr0ON439o-GM848O__EmQBzvGTGovE7l6wdpl1cU3ECIlcofeE8C7itNzXikWlB5t8_]	 Status: [Success]
[Wed Feb 03 16:18:55 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 648d902b47780060, Platform: android, PUSH ID: APA91bGmezMNKDmcwg_rdWOgcgfvX1Xnm39WrxVNHH6EscZfINwbQz94Itx5guML2-LylkCdkrr0ON439o-GM848O__EmQBzvGTGovE7l6wdpl1cU3ECIlcofeE8C7itNzXikWlB5t8_]	 Status: [Existing]
[Wed Feb 03 16:19:22 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 1CC2301B-2531-4E01-B8E9-1576B19EB399, Platform: ios, PUSH ID: 0ab0cc475d320e5a639f1be0ea5a2973a2188f117a8d710d1988d65e47796fc7]	 Status: [Success]
[Wed Feb 03 16:19:47 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: EEB6772D-A786-4F6B-A962-AE49F0177DC1, Platform: ios, PUSH ID: 7daa8b1a87883c0f4a09cc78382a04f8922675219fa98e66be78072ed3512842]	 Status: [Success]
[Wed Feb 03 16:19:57 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: CD95E4E6-AFCD-4AE5-A9B7-54D091245985, Platform: ios, PUSH ID: 089a35c1b9e4d20f60dcaae50d8f1c3bbf60c230ada5904edd3c515694778941]	 Status: [Success]
[Wed Feb 03 16:27:36 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 648d902b47780060, Platform: android, PUSH ID: APA91bGmezMNKDmcwg_rdWOgcgfvX1Xnm39WrxVNHH6EscZfINwbQz94Itx5guML2-LylkCdkrr0ON439o-GM848O__EmQBzvGTGovE7l6wdpl1cU3ECIlcofeE8C7itNzXikWlB5t8_]	 Status: [Existing]
[Wed Feb 03 16:27:37 2016]	[client: 180.191.139.19] [file: core.class.php] - [Device ID: 648d902b47780060, Platform: android, PUSH ID: APA91bGmezMNKDmcwg_rdWOgcgfvX1Xnm39WrxVNHH6EscZfINwbQz94Itx5guML2-LylkCdkrr0ON439o-GM848O__EmQBzvGTGovE7l6wdpl1cU3ECIlcofeE8C7itNzXikWlB5t8_]	 Status: [Existing]
[Wed Feb 03 17:37:14 2016]	[client: 121.54.44.91] [file: core.class.php] - [Device ID: 5c16e106ce7c8dfc, Platform: android, PUSH ID: APA91bHtX4iewg6yOLuB4JItObTeigmRo8iHy7bVuowPaZw69Qmi5_2UrRhNarqlijHVX8dEktpEepnKUYsHcFCIpTFyE9XHbTGlu4Exn3VRFa2vnwlPfhSpN4I2QuSW1W9jwTYVtRd7]	 Status: [Existing]
[Wed Feb 03 17:37:15 2016]	[client: 121.54.44.91] [file: core.class.php] - [Device ID: 5c16e106ce7c8dfc, Platform: android, PUSH ID: APA91bHtX4iewg6yOLuB4JItObTeigmRo8iHy7bVuowPaZw69Qmi5_2UrRhNarqlijHVX8dEktpEepnKUYsHcFCIpTFyE9XHbTGlu4Exn3VRFa2vnwlPfhSpN4I2QuSW1W9jwTYVtRd7]	 Status: [Existing]
[Wed Feb 03 18:25:44 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: c72cc2c852e434b7, Platform: android, PUSH ID: APA91bFFWERgPTo7KZTzxrkoYwlZWJ56Pr1wSXCI68q1l_MzJK6OfhcDHpFx2eKcKDRo4SCnEnldXAE8AdtSsS00BTXZWQ5tQQpzbuc_V5svgF3WnP_AR14VAAQ8X9f53E66YXM5nlTS]	 Status: [Success]
[Wed Feb 03 18:25:45 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: c72cc2c852e434b7, Platform: android, PUSH ID: APA91bFFWERgPTo7KZTzxrkoYwlZWJ56Pr1wSXCI68q1l_MzJK6OfhcDHpFx2eKcKDRo4SCnEnldXAE8AdtSsS00BTXZWQ5tQQpzbuc_V5svgF3WnP_AR14VAAQ8X9f53E66YXM5nlTS]	 Status: [Existing]
[Wed Feb 03 18:26:52 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: f0de8eda9b8c9a8b, Platform: android, PUSH ID: APA91bHy-3_Cb7IPKP1QzB9Owhy7Ee7rZsONES_TEoS7s2AidPMwUELqjmagbk4ahMKonIZeiK6K1J_Em2AFae17cxNZPgnp7mT286GTk6OVWLCpis_Blo-NTlQzRrdOvyOWGou1mqh1]	 Status: [Success]
[Wed Feb 03 18:26:54 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: f0de8eda9b8c9a8b, Platform: android, PUSH ID: APA91bGeViPfRJXKG5ve_jWvYsr6yQ3VtuBwFA7qGzFB8A_UhH2dmo_N6_A2yURh_xaTRR6I3J0Vqxoz7Gj2_rC1mZYYQM8sZFMXbR7HAXO377nPwMWcJDrN5A99C6PHT6-n-l3NA9Af]	 Status: [Existing]
[Wed Feb 03 18:35:19 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: a1bd481ef921cb72, Platform: android, PUSH ID: APA91bFGO_TwVWyhhTval-YYEHzr3oJTBSjVN3P5otE0fVf-ADK7khBT3N3Y3iEvVNC2sUUOrNOM3_Mt1tsMlP2LHHJMaHeeWwVM1VRzdRjsQEihecqWl00UrrjIQs0X491j_E2C7-8x]	 Status: [Success]
[Wed Feb 03 18:35:19 2016]	[client: 124.107.17.114] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a1bd481ef921cb72, Platform: android, PUSH ID: APA91bFGO_TwVWyhhTval-YYEHzr3oJTBSjVN3P5otE0fVf-ADK7khBT3N3Y3iEvVNC2sUUOrNOM3_Mt1tsMlP2LHHJMaHeeWwVM1VRzdRjsQEihecqWl00UrrjIQs0X491j_E2C7-8x]
[Wed Feb 03 18:45:35 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: a1bd481ef921cb72, Platform: android, PUSH ID: APA91bFGO_TwVWyhhTval-YYEHzr3oJTBSjVN3P5otE0fVf-ADK7khBT3N3Y3iEvVNC2sUUOrNOM3_Mt1tsMlP2LHHJMaHeeWwVM1VRzdRjsQEihecqWl00UrrjIQs0X491j_E2C7-8x]	 Status: [Existing]
[Wed Feb 03 18:45:35 2016]	[client: 124.107.17.114] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a1bd481ef921cb72, Platform: android, PUSH ID: APA91bFGO_TwVWyhhTval-YYEHzr3oJTBSjVN3P5otE0fVf-ADK7khBT3N3Y3iEvVNC2sUUOrNOM3_Mt1tsMlP2LHHJMaHeeWwVM1VRzdRjsQEihecqWl00UrrjIQs0X491j_E2C7-8x]
[Wed Feb 03 18:50:42 2016]	[client: 112.198.101.2] [file: core.class.php] - [Device ID: 985538e3b8d6fcff, Platform: android, PUSH ID: APA91bGv0LokYElrhWArxdeMj-VtadcwQDHVmTgCienQWb0nyzlaMXZAjP4rQzQyt1FLl3d8G_Nt5LBEqSc0OUqxLws8tN9ip97lbxMB5u5AWZRE5CPthCIRgFHCtj9vEBAPpNCm-tfa]	 Status: [Success]
[Wed Feb 03 18:50:42 2016]	[client: 112.198.101.2] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 985538e3b8d6fcff, Platform: android, PUSH ID: APA91bGv0LokYElrhWArxdeMj-VtadcwQDHVmTgCienQWb0nyzlaMXZAjP4rQzQyt1FLl3d8G_Nt5LBEqSc0OUqxLws8tN9ip97lbxMB5u5AWZRE5CPthCIRgFHCtj9vEBAPpNCm-tfa]
[Wed Feb 03 18:52:53 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: bf216c15bddcd4e5, Platform: android, PUSH ID: APA91bHE5qZMfqC9bAoUFB0p-fNktm0_CEsragJYWHcVyBELeYQk_rc7FTzR0MPmu0gRS-g6A9pUhmYVpReOa-17MaeDe5KxyY1YUe6biTjU0CjCjWbItrp2vinOj4zzSHMSWu2xvBJE]	 Status: [Success]
[Wed Feb 03 18:52:54 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: bf216c15bddcd4e5, Platform: android, PUSH ID: APA91bHE5qZMfqC9bAoUFB0p-fNktm0_CEsragJYWHcVyBELeYQk_rc7FTzR0MPmu0gRS-g6A9pUhmYVpReOa-17MaeDe5KxyY1YUe6biTjU0CjCjWbItrp2vinOj4zzSHMSWu2xvBJE]	 Status: [Existing]
[Wed Feb 03 18:57:39 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 55cfa38f10814f30, Platform: android, PUSH ID: APA91bHIiJetcxGe-jcrBtoNrb4-jUdGr5NmPXHwnO7OzB43waxbNSsbm-qHbYsElJJXKzq3O2bhuQpzI2_Ad5tHfOMQ8jBCzfYkcYI1IwVeVUnUhIVSiyOB5M_JBMuBjPE8QKV6FyMt]	 Status: [Success]
[Wed Feb 03 18:57:39 2016]	[client: 124.107.17.114] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 55cfa38f10814f30, Platform: android, PUSH ID: APA91bHIiJetcxGe-jcrBtoNrb4-jUdGr5NmPXHwnO7OzB43waxbNSsbm-qHbYsElJJXKzq3O2bhuQpzI2_Ad5tHfOMQ8jBCzfYkcYI1IwVeVUnUhIVSiyOB5M_JBMuBjPE8QKV6FyMt]
[Wed Feb 03 19:00:12 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 1C9335F3-4F16-46E6-BD49-56095EDC567F, Platform: ios, PUSH ID: 0591e7f5b5eecf210bf8276d6a2307893ee2aa450a5416db00b2035e772eca83]	 Status: [Success]
[Wed Feb 03 19:00:15 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 705E3469-46A6-46D4-870B-100EC109AB7E, Platform: ios, PUSH ID: da0bec7da7750fb1c82933c7f8c3a8a517709d310cf608e0f8ecfd2e88c70757]	 Status: [Success]
[Wed Feb 03 19:02:48 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 21f1e4439f50b420, Platform: android, PUSH ID: APA91bHsP9q6ooRzOYwDj3-dNoc728YswcHj_QoVe5k4Ug6HqtmtkA0zJFOf7UMvoA5w0hU8pyUDrRq_IK3Ps4r9fj_nb8MKJF8ITQgxIVv9pUANPNjYANZoIizA62VueqXbzN9N9qcu]	 Status: [Success]
[Wed Feb 03 19:02:49 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 21f1e4439f50b420, Platform: android, PUSH ID: APA91bHsP9q6ooRzOYwDj3-dNoc728YswcHj_QoVe5k4Ug6HqtmtkA0zJFOf7UMvoA5w0hU8pyUDrRq_IK3Ps4r9fj_nb8MKJF8ITQgxIVv9pUANPNjYANZoIizA62VueqXbzN9N9qcu]	 Status: [Existing]
[Wed Feb 03 19:23:40 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: a1bd481ef921cb72, Platform: android, PUSH ID: APA91bFGO_TwVWyhhTval-YYEHzr3oJTBSjVN3P5otE0fVf-ADK7khBT3N3Y3iEvVNC2sUUOrNOM3_Mt1tsMlP2LHHJMaHeeWwVM1VRzdRjsQEihecqWl00UrrjIQs0X491j_E2C7-8x]	 Status: [Existing]
