[Tue Jan 19 05:16:55 2016]	[client: 112.203.14.177] [file: core.class.php] - [Device ID: 41363d5bee9417e3, Platform: android, PUSH ID: APA91bG43izTxB4rO3ACDhe2Z91qsYeHqD_71ACFeMXVrZBJFoRk90sNs4NA80OySf1D4-Ql_a57jFXt5qxjxzJ3YJxLkLOZ_3A75yAAJyI1qGo-sJXCALEkYWCltwIzS6EA3cO7utVj]	 Status: [Success]
[Tue Jan 19 21:26:19 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 78df842c7170d875, Platform: android, PUSH ID: APA91bHArXFCf9T9Z05tL80hftN-MQrOkK0moLLbjjfuoJW__QKExQ5aPfbVYp7BrXr78Bf-Xlv8zS3RHe4Vi11CVL_y8srE8v8p_l8U1-hVb_UiETnAeBUp3Ts8bvK9LF_Ij50zbJxx]	 Status: [Existing]
[Tue Jan 19 21:30:45 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 78df842c7170d875, Platform: android, PUSH ID: APA91bHArXFCf9T9Z05tL80hftN-MQrOkK0moLLbjjfuoJW__QKExQ5aPfbVYp7BrXr78Bf-Xlv8zS3RHe4Vi11CVL_y8srE8v8p_l8U1-hVb_UiETnAeBUp3Ts8bvK9LF_Ij50zbJxx]	 Status: [Existing]
[Tue Jan 19 21:30:45 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 78df842c7170d875, Platform: android, PUSH ID: APA91bHArXFCf9T9Z05tL80hftN-MQrOkK0moLLbjjfuoJW__QKExQ5aPfbVYp7BrXr78Bf-Xlv8zS3RHe4Vi11CVL_y8srE8v8p_l8U1-hVb_UiETnAeBUp3Ts8bvK9LF_Ij50zbJxx]
[Tue Jan 19 22:23:39 2016]	[client: 112.198.101.57] [file: core.class.php] - [Device ID: bacf23727789c0ba, Platform: android, PUSH ID: APA91bH5xQVq__WDo3wuohETZn5Wb8AET47rZW8beptgBg3jnJuM7RnicK85oLNmUBMtazjrarwy6rScR7VV9cBd3IR48vOBnd1DrrQJ7wjB8g2rlR1J-_Xwa_9N8y0XxUuBzOl9nj0b]	 Status: [Success]
[Tue Jan 19 22:23:40 2016]	[client: 112.198.101.57] [file: core.class.php] - [Device ID: bacf23727789c0ba, Platform: android, PUSH ID: APA91bH5xQVq__WDo3wuohETZn5Wb8AET47rZW8beptgBg3jnJuM7RnicK85oLNmUBMtazjrarwy6rScR7VV9cBd3IR48vOBnd1DrrQJ7wjB8g2rlR1J-_Xwa_9N8y0XxUuBzOl9nj0b]	 Status: [Existing]
[Tue Jan 19 22:25:21 2016]	[client: 112.198.82.24] [file: core.class.php] - [Device ID: 248e71909606e19b, Platform: android, PUSH ID: APA91bFBaa2_KzXXdbWJcHE09TBNOfTobsWSYLf69aTAptyKX1VX2DOqgh80SjAvTkFdP4jDvk4i0j0FTOepX0AA6LOaRVhYvzrmRatacspKSguZmvqZphpuamAvrwzvJJk54t8CMMRj]	 Status: [Success]
[Tue Jan 19 22:25:22 2016]	[client: 112.198.82.24] [file: core.class.php] - [Device ID: 248e71909606e19b, Platform: android, PUSH ID: APA91bFBaa2_KzXXdbWJcHE09TBNOfTobsWSYLf69aTAptyKX1VX2DOqgh80SjAvTkFdP4jDvk4i0j0FTOepX0AA6LOaRVhYvzrmRatacspKSguZmvqZphpuamAvrwzvJJk54t8CMMRj]	 Status: [Existing]
[Tue Jan 19 22:28:53 2016]	[client: 112.198.82.24] [file: core.class.php] - [Device ID: 248e71909606e19b, Platform: android, PUSH ID: APA91bFBaa2_KzXXdbWJcHE09TBNOfTobsWSYLf69aTAptyKX1VX2DOqgh80SjAvTkFdP4jDvk4i0j0FTOepX0AA6LOaRVhYvzrmRatacspKSguZmvqZphpuamAvrwzvJJk54t8CMMRj]	 Status: [Existing]
[Tue Jan 19 22:28:53 2016]	[client: 112.198.82.24] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 248e71909606e19b, Platform: android, PUSH ID: APA91bFBaa2_KzXXdbWJcHE09TBNOfTobsWSYLf69aTAptyKX1VX2DOqgh80SjAvTkFdP4jDvk4i0j0FTOepX0AA6LOaRVhYvzrmRatacspKSguZmvqZphpuamAvrwzvJJk54t8CMMRj]
[Tue Jan 19 22:29:52 2016]	[client: 112.198.101.57] [file: core.class.php] - [Device ID: bacf23727789c0ba, Platform: android, PUSH ID: APA91bH5xQVq__WDo3wuohETZn5Wb8AET47rZW8beptgBg3jnJuM7RnicK85oLNmUBMtazjrarwy6rScR7VV9cBd3IR48vOBnd1DrrQJ7wjB8g2rlR1J-_Xwa_9N8y0XxUuBzOl9nj0b]	 Status: [Existing]
[Tue Jan 19 22:29:53 2016]	[client: 112.198.101.57] [file: core.class.php] - [Device ID: bacf23727789c0ba, Platform: android, PUSH ID: APA91bH5xQVq__WDo3wuohETZn5Wb8AET47rZW8beptgBg3jnJuM7RnicK85oLNmUBMtazjrarwy6rScR7VV9cBd3IR48vOBnd1DrrQJ7wjB8g2rlR1J-_Xwa_9N8y0XxUuBzOl9nj0b]	 Status: [Existing]
[Tue Jan 19 23:19:16 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 9b1988938d937080, Platform: android, PUSH ID: APA91bFkojx8ABb3qE1FRK7Pqv57JFLAe09rqGZeSux4_SZFejbWIHL9USwnsxxcYndS4XU1dfSGxJe6XNE32baijxsv99Ws5IDI8XqElFSvAvKS4XOq4LfYiS86krk3ycNMNFjpL4Gj]	 Status: [Existing]
[Tue Jan 19 23:19:17 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b1988938d937080, Platform: android, PUSH ID: APA91bFkojx8ABb3qE1FRK7Pqv57JFLAe09rqGZeSux4_SZFejbWIHL9USwnsxxcYndS4XU1dfSGxJe6XNE32baijxsv99Ws5IDI8XqElFSvAvKS4XOq4LfYiS86krk3ycNMNFjpL4Gj]
