[Sun Jan 24 06:01:15 2016]	[client: 112.198.83.186] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Sun Jan 24 17:00:51 2016]	[client: 121.54.54.249] [file: core.class.php] - [Device ID: 2bd36e45b267fa34, Platform: android, PUSH ID: APA91bGxele6UPxGs3uBdqexUnHqgWNi7JGLEnxUGAiNN4uHnDxBVWpm4nvI2KC8qcDumi8zw1S4a_KVg41zCiWEJcEQ1mviF5UZxGua9buVOMcdAQSorOJlB8JXaGakIbP0O67S2bpV]	 Status: [Existing]
[Sun Jan 24 18:44:48 2016]	[client: 110.55.4.154] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Existing]
[Sun Jan 24 18:44:50 2016]	[client: 110.55.4.154] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Existing]
[Sun Jan 24 19:24:34 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: A9BE85EF-E15F-425B-B00A-B347A9F8FCA8, Platform: ios, PUSH ID: 7ca12ea2183e7ffea478b043325adb1083ef47d3ca7a1411b1dff54512bd1de5]	 Status: [Success]
[Sun Jan 24 19:39:53 2016]	[client: 112.198.98.69] [file: core.class.php] - [Device ID: 24159f5adede0e7e, Platform: android, PUSH ID: APA91bGXHS3bDT2tKQ91ZWHJlOgJ-sTj8OurdeSG-4LBsXb175HNHPjOLsFh01-6Tf0wbHDOfdndI9THEDmkAjlWucQ25vi1NJP9271BsGhlop3NxwsGBIMilpaCQZvrS_m0AwW92ep2]	 Status: [Success]
[Sun Jan 24 19:39:53 2016]	[client: 112.198.98.69] [file: core.class.php] - [Device ID: 24159f5adede0e7e, Platform: android, PUSH ID: APA91bGXHS3bDT2tKQ91ZWHJlOgJ-sTj8OurdeSG-4LBsXb175HNHPjOLsFh01-6Tf0wbHDOfdndI9THEDmkAjlWucQ25vi1NJP9271BsGhlop3NxwsGBIMilpaCQZvrS_m0AwW92ep2]	 Status: [Existing]
[Sun Jan 24 19:39:58 2016]	[client: 112.198.82.58] [file: core.class.php] - [Device ID: 0A247D32-629D-43B6-8F20-F3B6777440C0, Platform: ios, PUSH ID: 3ab273027aa3dbb6f8f0bf90f066b3ff386ba06c8d1d4e04936508a4d3275f88]	 Status: [Success]
[Sun Jan 24 19:40:06 2016]	[client: 112.198.98.55] [file: core.class.php] - [Device ID: 36586B3F-680B-4CFD-9E88-37E0BF063CA9, Platform: ios, PUSH ID: 0e8d174ebe9342f7d2d8b1a0f86618437c50156d19838c65ca3f44ef3037bbd8]	 Status: [Success]
[Sun Jan 24 19:47:21 2016]	[client: 112.198.98.69] [file: core.class.php] - [Device ID: 24159f5adede0e7e, Platform: android, PUSH ID: APA91bGXHS3bDT2tKQ91ZWHJlOgJ-sTj8OurdeSG-4LBsXb175HNHPjOLsFh01-6Tf0wbHDOfdndI9THEDmkAjlWucQ25vi1NJP9271BsGhlop3NxwsGBIMilpaCQZvrS_m0AwW92ep2]	 Status: [Existing]
[Sun Jan 24 19:47:22 2016]	[client: 112.198.98.69] [file: core.class.php] - [Device ID: 24159f5adede0e7e, Platform: android, PUSH ID: APA91bGXHS3bDT2tKQ91ZWHJlOgJ-sTj8OurdeSG-4LBsXb175HNHPjOLsFh01-6Tf0wbHDOfdndI9THEDmkAjlWucQ25vi1NJP9271BsGhlop3NxwsGBIMilpaCQZvrS_m0AwW92ep2]	 Status: [Existing]
[Sun Jan 24 20:17:57 2016]	[client: 121.54.32.167] [file: core.class.php] - [Device ID: 94e69cd5c65c0eeb, Platform: android, PUSH ID: APA91bFgDhKFSuPrk_5fq8iltG7YmZFHhqLEnAcBZbMZbpuNlNpKfoC64QFm8bhzC6BxSfNy_oOzs5WnQ7FlA3LlqbgKJe85nVqY9AhVAQ4Fm7IQnYceS6HdPEradGbQLfDbEV64OqDD]	 Status: [Success]
[Sun Jan 24 20:17:57 2016]	[client: 121.54.32.167] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 94e69cd5c65c0eeb, Platform: android, PUSH ID: APA91bFgDhKFSuPrk_5fq8iltG7YmZFHhqLEnAcBZbMZbpuNlNpKfoC64QFm8bhzC6BxSfNy_oOzs5WnQ7FlA3LlqbgKJe85nVqY9AhVAQ4Fm7IQnYceS6HdPEradGbQLfDbEV64OqDD]
[Sun Jan 24 20:18:54 2016]	[client: 121.54.32.168] [file: core.class.php] - [Device ID: 94e69cd5c65c0eeb, Platform: android, PUSH ID: APA91bFgDhKFSuPrk_5fq8iltG7YmZFHhqLEnAcBZbMZbpuNlNpKfoC64QFm8bhzC6BxSfNy_oOzs5WnQ7FlA3LlqbgKJe85nVqY9AhVAQ4Fm7IQnYceS6HdPEradGbQLfDbEV64OqDD]	 Status: [Existing]
[Sun Jan 24 20:18:57 2016]	[client: 121.54.32.168] [file: core.class.php] - [Device ID: 94e69cd5c65c0eeb, Platform: android, PUSH ID: APA91bFgDhKFSuPrk_5fq8iltG7YmZFHhqLEnAcBZbMZbpuNlNpKfoC64QFm8bhzC6BxSfNy_oOzs5WnQ7FlA3LlqbgKJe85nVqY9AhVAQ4Fm7IQnYceS6HdPEradGbQLfDbEV64OqDD]	 Status: [Existing]
[Sun Jan 24 20:18:57 2016]	[client: 121.54.32.168] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 94e69cd5c65c0eeb, Platform: android, PUSH ID: APA91bFgDhKFSuPrk_5fq8iltG7YmZFHhqLEnAcBZbMZbpuNlNpKfoC64QFm8bhzC6BxSfNy_oOzs5WnQ7FlA3LlqbgKJe85nVqY9AhVAQ4Fm7IQnYceS6HdPEradGbQLfDbEV64OqDD]
[Sun Jan 24 20:22:30 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: b0445e7f45dd165f, Platform: android, PUSH ID: APA91bFSFNWPxzwCvnwzkuH-O5nywmF2y_vLvVwzoftgXfeFKc49YYcJ_AcKpRf1P6352n_4NJvZRwV3twoAjVRENryR99840vDX_WgdQcaUkxyzaxuKO9LyTgosSRkp6FebNL-DbAEg]	 Status: [Success]
[Sun Jan 24 20:22:30 2016]	[client: 112.208.32.15] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: b0445e7f45dd165f, Platform: android, PUSH ID: APA91bFSFNWPxzwCvnwzkuH-O5nywmF2y_vLvVwzoftgXfeFKc49YYcJ_AcKpRf1P6352n_4NJvZRwV3twoAjVRENryR99840vDX_WgdQcaUkxyzaxuKO9LyTgosSRkp6FebNL-DbAEg]
[Sun Jan 24 20:25:40 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 980B1611-175C-4471-A49E-AB8EA1EAF043, Platform: ios, PUSH ID: cc8c2b4e297e366eff045cd75c9b35faa5e7698fb7ef3a264766d76f95d8dd7b]	 Status: [Success]
[Sun Jan 24 20:27:03 2016]	[client: 121.54.32.172] [file: core.class.php] - [Device ID: 535258A2-C916-4E8C-B532-F6ADB583CE3F, Platform: ios, PUSH ID: e4b68b3d532c3ef0b825916926ab8aa8883026f837560306ffcddd2ddaed0aed]	 Status: [Success]
[Sun Jan 24 20:27:57 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: c4e39b3d82fca309, Platform: android, PUSH ID: APA91bGPh91ogAr-gDbQXUiWpk0jzTTe8bUaeUhxlUi2wEaANjpuYM1DMJQs1gPCqB-WfoI5uoPDuF68IDWytQJHJ7lNxgKw_xac5k5O8UK9IPaZB5VjXV4LYnjuCd848OVKV0YEIeAZ]	 Status: [Success]
[Sun Jan 24 20:27:58 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: c4e39b3d82fca309, Platform: android, PUSH ID: APA91bGPh91ogAr-gDbQXUiWpk0jzTTe8bUaeUhxlUi2wEaANjpuYM1DMJQs1gPCqB-WfoI5uoPDuF68IDWytQJHJ7lNxgKw_xac5k5O8UK9IPaZB5VjXV4LYnjuCd848OVKV0YEIeAZ]	 Status: [Existing]
[Sun Jan 24 20:29:45 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 26ec815350fe7cf, Platform: android, PUSH ID: APA91bGsvONT42pOgL3ZgzXKGDgatOMvrSS2oXq1aJbVP0INtMa4HsWcNwwB2KuCWZCmUq2Lx0H1W7SrXGzOY2DTBC4i24Nb4jn9EKj2LW6vV7_4tk5xzinDQW4qbVTdZ27U0a9CvqoP]	 Status: [Success]
[Sun Jan 24 20:29:46 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 26ec815350fe7cf, Platform: android, PUSH ID: APA91bGsvONT42pOgL3ZgzXKGDgatOMvrSS2oXq1aJbVP0INtMa4HsWcNwwB2KuCWZCmUq2Lx0H1W7SrXGzOY2DTBC4i24Nb4jn9EKj2LW6vV7_4tk5xzinDQW4qbVTdZ27U0a9CvqoP]	 Status: [Existing]
[Sun Jan 24 20:29:49 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 54183F4B-82BD-45C2-AE8A-E5F8E8BB4BC9, Platform: ios, PUSH ID: 9caa982ef615363f73254be17df4ed8ec962f0a9444e55595b4754dd990c284e]	 Status: [Success]
[Sun Jan 24 20:32:05 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 26ec815350fe7cf, Platform: android, PUSH ID: APA91bGsvONT42pOgL3ZgzXKGDgatOMvrSS2oXq1aJbVP0INtMa4HsWcNwwB2KuCWZCmUq2Lx0H1W7SrXGzOY2DTBC4i24Nb4jn9EKj2LW6vV7_4tk5xzinDQW4qbVTdZ27U0a9CvqoP]	 Status: [Existing]
[Sun Jan 24 20:32:06 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 26ec815350fe7cf, Platform: android, PUSH ID: APA91bGsvONT42pOgL3ZgzXKGDgatOMvrSS2oXq1aJbVP0INtMa4HsWcNwwB2KuCWZCmUq2Lx0H1W7SrXGzOY2DTBC4i24Nb4jn9EKj2LW6vV7_4tk5xzinDQW4qbVTdZ27U0a9CvqoP]	 Status: [Existing]
[Sun Jan 24 20:39:44 2016]	[client: 121.54.32.170] [file: core.class.php] - [Device ID: 94e69cd5c65c0eeb, Platform: android, PUSH ID: APA91bFgDhKFSuPrk_5fq8iltG7YmZFHhqLEnAcBZbMZbpuNlNpKfoC64QFm8bhzC6BxSfNy_oOzs5WnQ7FlA3LlqbgKJe85nVqY9AhVAQ4Fm7IQnYceS6HdPEradGbQLfDbEV64OqDD]	 Status: [Existing]
[Sun Jan 24 20:39:45 2016]	[client: 121.54.32.170] [file: core.class.php] - [Device ID: 94e69cd5c65c0eeb, Platform: android, PUSH ID: APA91bFgDhKFSuPrk_5fq8iltG7YmZFHhqLEnAcBZbMZbpuNlNpKfoC64QFm8bhzC6BxSfNy_oOzs5WnQ7FlA3LlqbgKJe85nVqY9AhVAQ4Fm7IQnYceS6HdPEradGbQLfDbEV64OqDD]	 Status: [Existing]
[Sun Jan 24 21:10:10 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 2afd42a487eb8c7c, Platform: android, PUSH ID: APA91bHOODuiklj6UkNplg1qRUFzwOU5v78cPeTc2qWthT_kELhfWqpPItXc9dR2rRRdcKdJAFsXGluKRnK_lfTa3y-RetZAMHUU4VOzDCuOaaJt-A56oOPEs3KdBSeaOJYUJt0uyxLr]	 Status: [Success]
[Sun Jan 24 21:10:10 2016]	[client: 112.208.32.15] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 2afd42a487eb8c7c, Platform: android, PUSH ID: APA91bHOODuiklj6UkNplg1qRUFzwOU5v78cPeTc2qWthT_kELhfWqpPItXc9dR2rRRdcKdJAFsXGluKRnK_lfTa3y-RetZAMHUU4VOzDCuOaaJt-A56oOPEs3KdBSeaOJYUJt0uyxLr]
